country,link,ESG-term,country_mapped,latitude,longitude
australia,http://climatecasechart.com/non-us-case/dennis-murphy-tipakalippa-v-national-offshore-petroleum-safety-and-environmental-management-authority-anor/,Management_Of_Legal_And_Regulatory_Framework,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/minister-of-environment-v-pt-selatnasik-indokwarsa-and-pt-simpang-pesak-indokwarsa/,GHG_Emissions,Indonesia,-2.4833826,117.8902853
france,http://climatecasechart.com/non-us-case/bordeaux-merignac-airport-v-climate-activists/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
germany,http://climatecasechart.com/non-us-case/regional-court-stuttgart-on-climate-neutral-vinegar-cleaner/,GHG_Emissions,Germany,51.1638175,10.4478313
brazil,http://climatecasechart.com/non-us-case/public-prosecutors-office-of-the-state-of-mato-grosso-v-nelson-noboru-yabuta/,GHG_Emissions,Brazil,-10.3333333,-53.2
netherlands,http://climatecasechart.com/non-us-case/rcc-ruling-on-arla-climate-neutral-milk/,Physical_Impacts_Of_Climate_Change,Netherlands,52.2434979,5.6343227
netherlands,http://climatecasechart.com/non-us-case/rcc-cvb-ruling-on-shell-compensate-your-emissions/,Management_Of_Legal_And_Regulatory_Framework,Netherlands,52.2434979,5.6343227
brazil,http://climatecasechart.com/non-us-case/public-prosecutors-office-v-oliveira-others/,Air_Quality,Brazil,-10.3333333,-53.2
italy,http://climatecasechart.com/non-us-case/focsiv-and-others-v-fca-italy-stellantis-nv/,Human_Rights_And_Community_Relations,Italy,42.6384261,12.674297
united-kingdom,http://climatecasechart.com/non-us-case/specific-instance-to-the-uk-ncp-under-the-oecd-guidelines-for-multinational-enterprises-filed-by-global-witness-against-uk-export-finance/,Management_Of_Legal_And_Regulatory_Framework,United Kingdom,54.7023545,-3.2765753
canada,http://climatecasechart.com/non-us-case/greenpeace-canada-v-shell-canada/,GHG_Emissions,Canada,61.0666922,-107.991707
united-kingdom,http://climatecasechart.com/non-us-case/advertising-standards-authoritys-ruling-on-shell-uk-ltds-shell-go-campaign/,Management_Of_Legal_And_Regulatory_Framework,United Kingdom,54.7023545,-3.2765753
poland,http://climatecasechart.com/non-us-case/development-yes-open-pit-mines-no-v-group-pzu-sa/,Physical_Impacts_Of_Climate_Change,Poland,52.215933,19.134422
italy,http://climatecasechart.com/non-us-case/rete-legalita-per-il-clima-legality-for-climate-network-and-others-v-intensive-livestock-farming-multinational-companies-operating-in-italy/,Physical_Impacts_Of_Climate_Change,Italy,42.6384261,12.674297
india,http://climatecasechart.com/non-us-case/carbonext-tecnologia-em-solucoes-ambientais-ltda-v-amazon-imoveis-voluntary-carbon-market/,GHG_Emissions,India,22.3511148,78.6677428
argentina,http://climatecasechart.com/non-us-case/fomeo-v-msu-sa-rio-energy-sa-general-electric/,Physical_Impacts_Of_Climate_Change,Argentina,-34.9964963,-64.9672817
united-kingdom,http://climatecasechart.com/non-us-case/grainger-plc-others-v-mr-t-nicholson/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-goodyear-tyres/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-prime-carbon-pty-ltd/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
germany,http://climatecasechart.com/non-us-case/verbraucherzentrale-baden-wurttemberg-ev-v-commerz-real-fund-management-sarl/,GHG_Emissions,Germany,51.1638175,10.4478313
brazil,http://climatecasechart.com/non-us-case/arayara-association-of-education-and-culture-and-others-v-funai-copelmi-mineracao-ltda-and-fepam-mina-guaiba-project-and-affected-indigenous-communities/,Human_Rights_And_Community_Relations,Brazil,-10.3333333,-53.2
united-kingdom,http://climatecasechart.com/non-us-case/attorney-general-v-crosland/,Business_Ethics,United Kingdom,54.7023545,-3.2765753
canada,http://climatecasechart.com/non-us-case/trans-mountain-pipeline-ulc-v-misavair/,Physical_Impacts_Of_Climate_Change,Canada,61.0666922,-107.991707
united-kingdom,http://climatecasechart.com/non-us-case/r-v-roberts/,Business_Ethics,United Kingdom,54.7023545,-3.2765753
united-kingdom,http://climatecasechart.com/non-us-case/complaint-against-bp-in-respect-of-violations-of-the-oecd-guidelines/,GHG_Emissions,United Kingdom,54.7023545,-3.2765753
australia,http://climatecasechart.com/non-us-case/friends-of-leadbeaters-possum-inc-v-vicforests-no-3/,Ecological_Impacts,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/mullaley-gas-and-pipeline-accord-inc-v-santos-nsw-eastern-pty-ltd/,GHG_Emissions,Australia,-24.7761086,134.755
united-kingdom,http://climatecasechart.com/non-us-case/deutsche-bank-ag-v-total-global-steel-ltd/,GHG_Emissions,United Kingdom,54.7023545,-3.2765753
italy,http://climatecasechart.com/non-us-case/greenpeace-italy-et-al-v-eni-spa-the-italian-ministry-of-economy-and-finance-and-cassa-depositi-e-prestiti-spa/,Physical_Impacts_Of_Climate_Change,Italy,42.6384261,12.674297
australia,http://climatecasechart.com/non-us-case/director-of-public-prosecutions-v-fraser-and-odonnell/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
united-kingdom,http://climatecasechart.com/non-us-case/ewan-mcgaughey-et-al-v-universities-superannuation-scheme-limited/,Employee_Engagement_Inclusion_And_Diversity,United Kingdom,54.7023545,-3.2765753
switzerland,http://climatecasechart.com/non-us-case/four-islanders-of-pari-v-holcim/,Physical_Impacts_Of_Climate_Change,Switzerland,46.7985624,8.2319736
france,http://climatecasechart.com/non-us-case/kaiser-et-al-v-volkswagen-ag/,GHG_Emissions,France,46.603354,1.8883335
france,http://climatecasechart.com/non-us-case/notre-affaire-a-tous-v-fifa/,GHG_Emissions,France,46.603354,1.8883335
france,http://climatecasechart.com/non-us-case/climate-activists-v-paris-airports/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
japan,http://climatecasechart.com/non-us-case/citizens-committee-on-the-kobe-coal-fired-power-plant-v-kobe-steel-ltd-et-al/,Air_Quality,Japan,36.5748441,139.2394179
nigeria,http://climatecasechart.com/non-us-case/wayuu-indigenous-community-and-others-v-ministry-of-environment-and-others/,Physical_Impacts_Of_Climate_Change,Nigeria,9.6000359,7.9999721
germany,http://climatecasechart.com/non-us-case/lliuya-v-rwe-ag/,GHG_Emissions,Germany,51.1638175,10.4478313
canada,http://climatecasechart.com/non-us-case/weaver-v-corcoran-and-others/,Business_Ethics,Canada,61.0666922,-107.991707
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-gm-holden-ltd/,GHG_Emissions,Australia,-24.7761086,134.755
china,http://climatecasechart.com/non-us-case/the-friends-of-nature-institute-v-gansu-state-grid/,Energy_Management,China,35.000074,104.999927
nigeria,http://climatecasechart.com/non-us-case/centre-for-oil-pollution-watch-copw-vs-nnpc-2018-supreme-court-of-nigeria/,Employee_Health_And_Safety,Nigeria,9.6000359,7.9999721
france,http://climatecasechart.com/non-us-case/r-v-brown-extinction-rebellion-protest-london-city-airport/,Human_Rights_And_Community_Relations,France,46.603354,1.8883335
united-kingdom,http://climatecasechart.com/non-us-case/r-v-basto/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
netherlands,http://climatecasechart.com/non-us-case/rcc-ruling-on-shell-drive-co2-neutral-1/,GHG_Emissions,Netherlands,52.2434979,5.6343227
germany,http://climatecasechart.com/non-us-case/centre-for-protection-against-unfair-competition-v-anonymous-party-konstanz/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
australia,http://climatecasechart.com/non-us-case/alanvale-pty-ltd-v-southern-rural-water-authority/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
france,http://climatecasechart.com/non-us-case/envol-vert-et-al-v-casino/,Human_Rights_And_Community_Relations,France,46.603354,1.8883335
italy,http://climatecasechart.com/non-us-case/italian-competition-authority-v-volkswagen-aktiengesellschaft-and-volkswagen-group-italia-spa/,Air_Quality,Italy,42.6384261,12.674297
netherlands,http://climatecasechart.com/non-us-case/rcc-ruling-on-chiquita-climate-neutral-bananas/,Air_Quality,Netherlands,52.2434979,5.6343227
belgium,http://climatecasechart.com/non-us-case/clientearth-v-belgian-national-bank/,Physical_Impacts_Of_Climate_Change,Belgium,50.6402809,4.6667145
australia,http://climatecasechart.com/non-us-case/mcveigh-v-retail-employees-superannuation-trust/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
nigeria,http://climatecasechart.com/non-us-case/gbemre-v-shell-petroleum-development-company-of-nigeria-ltd-et-al/,Human_Rights_And_Community_Relations,Nigeria,9.6000359,7.9999721
germany,http://climatecasechart.com/non-us-case/church-of-england-pensions-board-and-others-v-volkswagen-ag/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
australia,http://climatecasechart.com/non-us-case/complaint-to-ad-standards-on-hsbcs-great-barrier-reef-ad/,Management_Of_Legal_And_Regulatory_Framework,Australia,-24.7761086,134.755
niger,http://climatecasechart.com/non-us-case/wayuu-indigenous-community-and-others-v-ministry-of-environment-and-others/,Physical_Impacts_Of_Climate_Change,Niger,17.7356214,9.3238432
argentina,http://climatecasechart.com/non-us-case/oaaa-v-araucaria-energy-sa/,Physical_Impacts_Of_Climate_Change,Argentina,-34.9964963,-64.9672817
switzerland,http://climatecasechart.com/non-us-case/credit-suisse-protesters-trial/,Physical_Impacts_Of_Climate_Change,Switzerland,46.7985624,8.2319736
france,http://climatecasechart.com/non-us-case/notre-affaire-a-tous-les-amis-de-la-terre-and-oxfam-france-v-bnp-paribas/,Human_Rights_And_Community_Relations,France,46.603354,1.8883335
belgium,http://climatecasechart.com/non-us-case/lauwrys-ao-v-the-province-of-antwerp/,GHG_Emissions,Belgium,50.6402809,4.6667145
canada,http://climatecasechart.com/non-us-case/greenpeace-canada-v-pathways-alliance/,Physical_Impacts_Of_Climate_Change,Canada,61.0666922,-107.991707
italy,http://climatecasechart.com/non-us-case/altroconsumo-v-volkswagen-aktiengesellschaft-and-volkswagen-group-italia-spa/,Air_Quality,Italy,42.6384261,12.674297
germany,http://climatecasechart.com/non-us-case/higher-regional-court-of-koblenzs-decision-on-companys-climate-neutral-claims-regarding-grave-lights/,GHG_Emissions,Germany,51.1638175,10.4478313
united-kingdom,http://climatecasechart.com/non-us-case/cf-partners-uk-llp-v-barclays-bank-plc/,Business_Ethics,United Kingdom,54.7023545,-3.2765753
niger,http://climatecasechart.com/non-us-case/centre-for-oil-pollution-watch-copw-vs-nnpc-2018-supreme-court-of-nigeria/,Employee_Health_And_Safety,Niger,17.7356214,9.3238432
france,http://climatecasechart.com/non-us-case/notre-affaire-a-tous-and-others-v-total/,GHG_Emissions,France,46.603354,1.8883335
poland,http://climatecasechart.com/non-us-case/greenpeace-v-pge-giek/,GHG_Emissions,Poland,52.215933,19.134422
brazil,http://climatecasechart.com/non-us-case/federal-public-ministry-vs-federal-union-zoning-of-sugar-cane/,Ecological_Impacts,Brazil,-10.3333333,-53.2
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-bumi-mekar-hijau/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
brazil,http://climatecasechart.com/non-us-case/carbonext-tecnologia-em-solucoes-ambientais-ltda-v-amazon-imoveis-voluntary-carbon-market/,GHG_Emissions,Brazil,-10.3333333,-53.2
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-arjuna-utama-sawit/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
germany,http://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-bmw/,GHG_Emissions,Germany,51.1638175,10.4478313
australia,http://climatecasechart.com/non-us-case/friends-of-the-earth-et-al-v-prefect-of-of-bouches-du-rhone-and-total/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-v8-supercars-australia-pty-ltd/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-palmina-utama/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
niger,http://climatecasechart.com/non-us-case/gbemre-v-shell-petroleum-development-company-of-nigeria-ltd-et-al/,Human_Rights_And_Community_Relations,Niger,17.7356214,9.3238432
argentina,http://climatecasechart.com/non-us-case/hahn-et-al-v-apr-energy-srl-ii/,Physical_Impacts_Of_Climate_Change,Argentina,-34.9964963,-64.9672817
germany,http://climatecasechart.com/non-us-case/allhoff-cramer-v-volkswagen-ag/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
ecuador,http://climatecasechart.com/non-us-case/baihua-caiga-et-al-v-petrooriental-sa/,GHG_Emissions,Ecuador,-1.3397668,-79.3666965
india,http://climatecasechart.com/non-us-case/indian-council-for-enviro-legal-action-icela-v-moef/,GHG_Emissions,India,22.3511148,78.6677428
slovenia,http://climatecasechart.com/non-us-case/specific-instance-under-the-oecd-guidelines-for-multinational-enterprises-submitted-to-the-slovenian-and-uk-national-contact-point-for-the-oecd-guidelines/,Physical_Impacts_Of_Climate_Change,Slovenia,46.1199444,14.8153333
canada,http://climatecasechart.com/non-us-case/chicago-climate-exchange-v-bourse-de-montreal/,Physical_Impacts_Of_Climate_Change,Canada,61.0666922,-107.991707
germany,http://climatecasechart.com/non-us-case/regional-court-of-monchengladbachs-decision-on-companys-climate-neutral-claims-regarding-jams/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
italy,http://climatecasechart.com/non-us-case/amis-de-la-terre-and-sherpa-v-perenco/,Ecological_Impacts,Italy,42.6384261,12.674297
canada,http://climatecasechart.com/non-us-case/clientearth-surfrider-foundation-europe-and-zero-waste-france-v-danone/,Waste_And_Hazardous_Materials_Management,Canada,61.0666922,-107.991707
netherlands,http://climatecasechart.com/non-us-case/fossielvrij-nl-v-klm/,Air_Quality,Netherlands,52.2434979,5.6343227
poland,http://climatecasechart.com/non-us-case/clientearth-v-polska-grupa-energetyczna/,Physical_Impacts_Of_Climate_Change,Poland,52.215933,19.134422
brazil,http://climatecasechart.com/non-us-case/federal-environmental-agency-ibama-v-siderurgica-sao-luiz-ltda-and-martins/,Ecological_Impacts,Brazil,-10.3333333,-53.2
colombia,http://climatecasechart.com/non-us-case/1pira-parana-indigenous-council-and-association-of-indigenous-traditional-authorities-of-river-pira-parana-acaipi-v-ministry-of-environment-and-sustainable-development-and-others/,Human_Rights_And_Community_Relations,Colombia,4.099917,-72.9088133
germany,http://climatecasechart.com/non-us-case/dws-greenwashing/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
